team,r_colley,r_massey,r_elo_final,r_elo_mov,ts_score,r_pagerank,r_bt_pois,games_count,sos_score,consistency,r_colley_z,pos_r_colley,r_massey_z,pos_r_massey,r_elo_final_z,pos_r_elo_final,r_elo_mov_z,pos_r_elo_mov,ts_score_z,pos_ts_score,r_pagerank_z,pos_r_pagerank,r_bt_pois_z,pos_r_bt_pois,borda_score,pca_score,is_anomaly,anomaly_score,rating_integrado,rating_ajustado,NOTA_FINAL,ci_lower,ci_upper,incerteza
a2euff,0.15282866667994408,-0.11665384171311173,1529.0680992624398,1529.2439634099862,10.498930687682785,0.005768779458891074,0.0,5.0,-1.2333087497512893,0.7726627716218429,0.44254597636340337,19,-0.30641087509018294,36,0.2662724564236273,19,0.2752983365876189,19,-0.016857298024455444,29,-0.42230891597301196,28,-0.4040736538512629,34,184,-0.03498010305198423,False,-0.4885755158181465,-0.18963240614499383,-0.18963240614499383,31.07,12.55,49.59,9.45
aaicei_pinguins,0.14805640078446217,0.053494145860954745,1523.2648481097694,1522.7686058879958,10.892354566423514,0.005637236640464021,0.5764428741153371,4.0,-0.3680375575492313,1.0,0.3901907589560201,20,0.14051134368783222,27,0.194018731274002,22,0.19371020329533506,22,0.028685984424513592,28,-0.4267841863958262,29,0.05127784647923902,28,176,0.24816802264309565,False,0.0,0.07205276668904223,0.07205276668904223,37.75,20.22,55.28,8.94
acca,-0.04322301289768928,-0.6525081527317775,1400.1473257266878,1400.8808968387846,-1.7890003091250204,0.0029944995845784623,-1.744538079512846,4.0,-0.4683889241918057,1.0,-1.7082831124112334,53,-1.713922071882783,52,-1.3388633359232316,52,-1.3420491148312959,52,-1.439324876485459,53,-0.5166937924305977,45,-1.7821426136055027,54,361,-3.76549547303281,False,0.0,-1.4053487363212218,-1.4053487363212218,0.0,0.0,17.53,8.94
agronomia_ufg,0.10715536671202443,-0.052263868806585734,1496.9798389125044,1497.3487725304294,4.543021298002625,0.003729233968310902,0.13345562506538036,3.0,-0.06195808870052267,1.0,-0.058523243563537296,29,-0.13727981471890505,30,-0.13324434594447407,29,-0.12657431307331019,29,-0.7063214567402225,38,-0.49169710241391035,37,-0.2986525933613957,32,224,-0.718602682683111,False,0.0,-0.2289037440796245,-0.2289037440796245,30.06,11.47,48.65,9.49
axis_anteaters_blossom,0.045318574218749276,-0.10844309756828009,1432.471267584273,1434.0690336477742,11.190986482155072,0.004915113292681763,0.05828926630099276,8.0,-0.8988537636105871,0.8626280124977889,-0.7369176971973367,45,-0.2848439788644526,34,-0.9364121668650478,45,-0.9238856203062747,45,0.06325602051376203,27,-0.45135183135430545,32,-0.35802901342777743,33,261,-1.3834036972157333,False,-0.4715827589419706,-0.6160899533328259,-0.6160899533328259,20.17,4.58,35.76,7.95
axis_anteaters_shadow,0.07246623245227597,0.004134530421594451,1459.802240735798,1458.6189305285734,13.321116834734303,0.008135848712101837,0.5748580500274075,9.0,-0.841920848845254,0.8541474011163077,-0.4390882006759362,39,0.010860037406083458,28,-0.596126252950499,41,-0.614562119291803,41,0.30984280271711384,23,-0.3417779136399457,25,0.05002594094166745,29,226,-0.6140342388657931,False,-0.42868347065932244,-0.3260152436123084,-0.3260152436123084,27.58,12.5,42.66,7.69
azure_bears_black,0.21724941432645473,0.3757646566028532,1648.5210150556084,1644.5642168598536,24.717044232414267,0.043145909398620896,1.781429720152687,16.0,-0.04589710260418311,0.8137661018568084,1.1492882917428469,7,0.9870088765769376,10,1.7535281203577093,4,1.7283091051537425,4,1.6290508332558915,4,0.8493132532122898,6,1.0031372463611468,9,44,3.467354567565874,False,-0.5137839283823982,1.3026339069839992,1.3026339069839992,69.2,56.65,81.75,6.4
azure_bears_golden,0.3065227934995776,0.7624594247229552,1707.2121428535115,1704.368257766754,26.033845038866254,0.10860870305130932,3.420121471189951,9.0,1.3909549182167733,0.8944227489038891,2.128681996466131,2,2.002727523750801,1,2.4842655130828057,1,2.4818273540472124,1,1.7814854827469941,3,3.0764489321633306,3,2.297594652152126,1,12,6.0924254761305425,True,-0.6378802393232883,2.5079954497122428,2.5079954497122428,100.0,85.2,100.0,7.55
black_cyber,0.16866435824352283,0.29247250856612983,1539.1440107395883,1541.5956897549622,13.053146114766172,0.006188539626284821,1.4614983213198673,5.0,-0.9044247367133688,0.6949660903609403,0.6162749958198326,14,0.7682280838205439,14,0.3917231941823839,15,0.43092747243090856,15,0.27882214828549773,25,-0.4080280887543483,27,0.7504127371286635,14,124,1.1178839126591298,False,-0.41566597362047025,0.2820858536740087,0.2820858536740087,43.12,23.95,62.29,9.78
brutal_ufsj,0.126836593607234,0.20884228781518455,1517.0760171944924,1515.444620260932,17.53396091064178,0.012795282734639063,0.9191742547126593,9.0,-0.33996072373933006,0.8649251394550769,0.1573940870106602,24,0.5485592863941999,19,0.11696432225636462,23,0.10142953561909238,23,0.7975273537327957,15,-0.18325745986330103,19,0.3220128236525524,23,146,0.723928537699254,False,-0.40756552853309386,0.24747385308913417,0.24747385308913417,42.24,27.23,57.25,7.66
